id,name,,parent_id,icon,created_at,updated_at
272,Global Warming,global-warming,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
273,Natural Sciences,natural-sciences,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
274,Optics,optics,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
275,Physical Chemistry,physical-chemistry,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
276,Quantum Physics Mechanics,quantum-physics-mechanics,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
277,Renewable Energy,renewable-energy,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
278,Solar Energy,solar-energy,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
279,Spectroscopy,spectroscopy,266,,2026-05-15 08:15:35,2026-05-15 08:15:35
280,Computer Programming,computer-programming,,,2026-05-15 08:15:35,2026-05-15 08:15:35
281,Access Controls,access-controls,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
282,Active Directory,active-directory,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
283,Acunetix,acunetix,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
284,Ada Programming,ada-programming,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
285,Adabas,adabas,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
286,Adaptive Design,adaptive-design,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
287,Adobe Captivate,adobe-captivate,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
288,Adobe Coldfusion,adobe-coldfusion,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
289,Adobe Dreamweaver,adobe-dreamweaver,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
290,Adobe Experience Manager,adobe-experience-manager,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
291,Adobe Indesign,adobe-indesign,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
292,Adware,adware,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
293,Ag Grid,ag-grid,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
294,Aggregator,aggregator,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
295,Agile Software Development,agile-software-development,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
296,Agile Testing,agile-testing,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
297,Ajax,ajax,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
298,Algorithms,algorithms,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
299,Amazon Athena,amazon-athena,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
300,Amazon Web Services Aws,amazon-web-services-aws,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
301,Android Development,android-development,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
302,Android Studio,android-studio,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
303,Angular,angular,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
304,Apache Beam,apache-beam,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
305,Apache Kafka,apache-kafka,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
306,Apache Spark,apache-spark,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
307,Api Design,api-design,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
308,Api Management,api-management,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
309,App Development,app-development,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
310,Aspect Oriented Programming Aop,aspect-oriented-programming-aop,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
311,Aspnet,aspnet,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
312,Aurelia,aurelia,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
313,Authentications,authentications,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
314,Aws Amplify,aws-amplify,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
315,Azure,azure,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
316,Azure Devops,azure-devops,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
317,Azure Security,azure-security,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
318,Azure Sentinel,azure-sentinel,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
319,Backbonejs,backbonejs,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
320,Backend Software Engineering,backend-software-engineering,280,,2026-05-15 08:15:35,2026-05-15 08:15:35
